frame.time,ip.src,ip.dst,ip.proto,tcp.srcport,tcp.dstport
"Jul 10, 2025 10:38:51.847878722 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.849002332 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.849847629 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:51.859858238 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.860766759 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.860795010 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.861175181 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.861307687 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.862101594 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.862589378 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.863726203 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.863726450 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.864215618 CEST","10.74.18.51","34.36.54.80","6","46058","443"
"Jul 10, 2025 10:38:51.877094648 CEST","34.36.54.80","10.74.18.51","6","443","46058"
"Jul 10, 2025 10:38:51.884770494 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:51.884771452 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:51.886004055 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.890430042 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:51.891720104 CEST",,,,,
"Jul 10, 2025 10:38:51.901262405 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.901334547 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.904250822 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.919006231 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.940490980 CEST","10.74.17.111","224.0.0.251","17",,
"Jul 10, 2025 10:38:51.940491488 CEST",,,,,
"Jul 10, 2025 10:38:51.940867603 CEST","10.74.17.111","224.0.0.251","17",,
"Jul 10, 2025 10:38:51.943271160 CEST",,,,,
"Jul 10, 2025 10:38:51.945969316 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.946027523 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.947191735 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.947991411 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.948063764 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.948377469 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.949039393 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.963160721 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.963414407 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.963440501 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.963777295 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.964148658 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.965356315 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.965808804 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.965898824 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.965927923 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.965959507 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.965971799 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.965972060 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.966018309 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.966018567 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.966249634 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:51.966276280 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:51.975488985 CEST",,,,,
"Jul 10, 2025 10:38:51.980497834 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:52.087670610 CEST","10.74.17.22","224.0.0.251","17",,
"Jul 10, 2025 10:38:52.113760059 CEST",,,,,
"Jul 10, 2025 10:38:52.113760622 CEST","10.74.17.22","224.0.0.251","17",,
"Jul 10, 2025 10:38:52.113917055 CEST",,,,,
"Jul 10, 2025 10:38:52.281318713 CEST",,,,,
"Jul 10, 2025 10:38:52.468195062 CEST","10.74.17.22","239.255.255.250","17",,
"Jul 10, 2025 10:38:52.549446298 CEST",,,,,
"Jul 10, 2025 10:38:52.579769790 CEST",,,,,
"Jul 10, 2025 10:38:52.745229064 CEST",,,,,
"Jul 10, 2025 10:38:52.765854055 CEST",,,,,
"Jul 10, 2025 10:38:52.913994312 CEST",,,,,
"Jul 10, 2025 10:38:52.960491620 CEST","10.74.17.22","10.74.19.255","17",,
"Jul 10, 2025 10:38:53.200259425 CEST","10.74.17.228","239.255.255.250","17",,
"Jul 10, 2025 10:38:53.264823373 CEST",,,,,
"Jul 10, 2025 10:38:53.306039077 CEST",,,,,
"Jul 10, 2025 10:38:53.318727620 CEST",,,,,
"Jul 10, 2025 10:38:53.460206013 CEST",,,,,
"Jul 10, 2025 10:38:53.504351964 CEST","10.74.17.228","239.255.255.250","17",,
"Jul 10, 2025 10:38:53.809631417 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.809659252 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.809661272 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.809675773 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.809697131 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.809704452 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810359320 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810377089 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810665987 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810680294 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810694559 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810734063 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810893354 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.810952365 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.810968850 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811262077 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811294731 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811574611 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811590056 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811688516 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811701128 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811851395 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.811859102 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.811869449 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.812026898 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.812066607 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:53.813481087 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.815645977 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.819903009 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.820521736 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.833642566 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.833796938 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.834762447 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.837774487 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.842006415 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.842364109 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.844425067 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.845738773 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.848003886 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.849008719 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.849632358 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.856824358 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.857447596 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.862084717 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.884098056 CEST","10.74.17.228","239.255.255.250","17",,
"Jul 10, 2025 10:38:53.887178204 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.949837693 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:53.978130369 CEST",,,,,
"Jul 10, 2025 10:38:53.995901627 CEST",,,,,
"Jul 10, 2025 10:38:54.047858892 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:54.081863004 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:54.104439602 CEST","10.74.17.22","224.0.0.251","17",,
"Jul 10, 2025 10:38:54.117949972 CEST",,,,,
"Jul 10, 2025 10:38:54.329377799 CEST",,,,,
"Jul 10, 2025 10:38:54.467964571 CEST","10.74.18.51","10.74.16.245","6","3000","52403"
"Jul 10, 2025 10:38:54.474359895 CEST","10.74.17.22","239.255.255.250","17",,
"Jul 10, 2025 10:38:54.477167105 CEST","10.74.16.245","10.74.18.51","6","52403","3000"
"Jul 10, 2025 10:38:54.523112089 CEST",,,,,
"Jul 10, 2025 10:38:54.602218271 CEST",,,,,
"Jul 10, 2025 10:38:54.680645570 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:38:54.729435892 CEST",,,,,
"Jul 10, 2025 10:38:54.769129054 CEST",,,,,
"Jul 10, 2025 10:38:54.876982062 CEST","10.74.16.245","10.74.18.51","6","52403","3000"
"Jul 10, 2025 10:38:54.877285951 CEST","10.74.18.51","10.74.16.245","6","3000","52403"
"Jul 10, 2025 10:38:54.889891630 CEST","10.74.16.245","10.74.18.51","6","52403","3000"
"Jul 10, 2025 10:38:54.909290054 CEST",,,,,
"Jul 10, 2025 10:38:54.920933049 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:38:54.922190228 CEST",,,,,
"Jul 10, 2025 10:38:54.923042873 CEST",,,,,
"Jul 10, 2025 10:38:55.072378862 CEST","0.0.0.0","255.255.255.255","17",,
"Jul 10, 2025 10:38:55.077535428 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:38:55.090837012 CEST",,,,,
"Jul 10, 2025 10:38:55.173327250 CEST",,,,,
"Jul 10, 2025 10:38:55.183957845 CEST",,,,,
"Jul 10, 2025 10:38:55.186023761 CEST",,,,,
"Jul 10, 2025 10:38:55.188418030 CEST",,,,,
"Jul 10, 2025 10:38:55.221759389 CEST",,,,,
"Jul 10, 2025 10:38:55.223640477 CEST",,,,,
"Jul 10, 2025 10:38:55.223640960 CEST",,,,,
"Jul 10, 2025 10:38:55.229438315 CEST",,,,,
"Jul 10, 2025 10:38:55.264796176 CEST",,,,,
"Jul 10, 2025 10:38:55.330023114 CEST","10.74.17.221","255.255.255.255","17",,
"Jul 10, 2025 10:38:55.330023478 CEST","10.74.17.221","255.255.255.255","17",,
"Jul 10, 2025 10:38:55.343405925 CEST",,,,,
"Jul 10, 2025 10:38:55.353280192 CEST",,,,,
"Jul 10, 2025 10:38:55.466399287 CEST",,,,,
"Jul 10, 2025 10:38:55.599498856 CEST",,,,,
"Jul 10, 2025 10:38:55.732656921 CEST",,,,,
"Jul 10, 2025 10:38:55.835037043 CEST",,,,,
"Jul 10, 2025 10:38:55.836517348 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:55.852995885 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:55.852996295 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:55.853208774 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:55.853363488 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:55.853844302 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:55.853958376 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:55.854516430 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:55.859949544 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:55.878879811 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:55.996996321 CEST",,,,,
"Jul 10, 2025 10:38:56.048140423 CEST","10.74.16.248","224.0.0.251","17",,
"Jul 10, 2025 10:38:56.049366552 CEST",,,,,
"Jul 10, 2025 10:38:56.111375839 CEST","10.74.17.22","224.0.0.251","17",,
"Jul 10, 2025 10:38:56.111376737 CEST",,,,,
"Jul 10, 2025 10:38:56.134866717 CEST",,,,,
"Jul 10, 2025 10:38:56.228031567 CEST",,,,,
"Jul 10, 2025 10:38:56.228342735 CEST",,,,,
"Jul 10, 2025 10:38:56.378017839 CEST",,,,,
"Jul 10, 2025 10:38:56.494831139 CEST","10.74.17.22","239.255.255.250","17",,
"Jul 10, 2025 10:38:56.671837917 CEST","10.74.16.188","224.0.0.251","17",,
"Jul 10, 2025 10:38:56.671926054 CEST",,,,,
"Jul 10, 2025 10:38:56.723088126 CEST",,,,,
"Jul 10, 2025 10:38:56.733800234 CEST",,,,,
"Jul 10, 2025 10:38:56.757948864 CEST",,,,,
"Jul 10, 2025 10:38:56.873614304 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:56.888695995 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.890107235 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.890107548 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.890221489 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:56.890521030 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.890916350 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.890942524 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:56.891771635 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.891811442 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:56.892539949 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.892577203 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:56.893309378 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.893667141 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:56.912843064 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:56.948725640 CEST",,,,,
"Jul 10, 2025 10:38:57.054002705 CEST","10.74.16.248","224.0.0.251","17",,
"Jul 10, 2025 10:38:57.054384780 CEST",,,,,
"Jul 10, 2025 10:38:57.080808105 CEST",,,,,
"Jul 10, 2025 10:38:57.231476023 CEST",,,,,
"Jul 10, 2025 10:38:57.264805320 CEST",,,,,
"Jul 10, 2025 10:38:57.371476389 CEST",,,,,
"Jul 10, 2025 10:38:57.401295364 CEST",,,,,
"Jul 10, 2025 10:38:57.465610790 CEST",,,,,
"Jul 10, 2025 10:38:57.676909576 CEST","10.74.16.188","224.0.0.251","17",,
"Jul 10, 2025 10:38:57.676910507 CEST",,,,,
"Jul 10, 2025 10:38:57.738345386 CEST","10.74.17.98","224.0.0.251","17",,
"Jul 10, 2025 10:38:57.739612985 CEST",,,,,
"Jul 10, 2025 10:38:57.859367500 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:57.859401145 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:57.859403749 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:57.859411621 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:57.862777953 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:57.876734591 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:57.887762773 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:57.902608279 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:57.904107480 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:57.904644358 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:57.923814013 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:57.996993243 CEST",,,,,
"Jul 10, 2025 10:38:58.088178365 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:58.088179243 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:58.144897335 CEST","10.74.17.22","224.0.0.251","17",,
"Jul 10, 2025 10:38:58.144897859 CEST",,,,,
"Jul 10, 2025 10:38:58.166207775 CEST",,,,,
"Jul 10, 2025 10:38:58.237784668 CEST",,,,,
"Jul 10, 2025 10:38:58.405923678 CEST",,,,,
"Jul 10, 2025 10:38:58.425454038 CEST",,,,,
"Jul 10, 2025 10:38:58.503549538 CEST","10.74.17.22","239.255.255.250","17",,
"Jul 10, 2025 10:38:58.700899631 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:38:58.701106514 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:38:58.704685879 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:38:58.707811168 CEST",,,,,
"Jul 10, 2025 10:38:58.708510789 CEST",,,,,
"Jul 10, 2025 10:38:58.718830080 CEST",,,,,
"Jul 10, 2025 10:38:58.731024628 CEST",,,,,
"Jul 10, 2025 10:38:58.741696035 CEST","10.74.17.98","224.0.0.251","17",,
"Jul 10, 2025 10:38:58.742450336 CEST",,,,,
"Jul 10, 2025 10:38:58.747180153 CEST",,,,,
"Jul 10, 2025 10:38:58.891925834 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:58.906863034 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.908545614 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.908545921 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.908896692 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.909062769 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:58.909358336 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.909636479 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:58.910142308 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.910176125 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:58.910843089 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.910992391 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:58.930002440 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:58.976433526 CEST",,,,,
"Jul 10, 2025 10:38:59.194587984 CEST","10.74.16.187","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.196475527 CEST",,,,,
"Jul 10, 2025 10:38:59.222530461 CEST",,,,,
"Jul 10, 2025 10:38:59.264763108 CEST",,,,,
"Jul 10, 2025 10:38:59.339964242 CEST","10.74.17.221","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.343807520 CEST","10.74.17.221","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.369094284 CEST",,,,,
"Jul 10, 2025 10:38:59.410445998 CEST",,,,,
"Jul 10, 2025 10:38:59.450024188 CEST",,,,,
"Jul 10, 2025 10:38:59.467464425 CEST","10.74.16.187","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.467549218 CEST",,,,,
"Jul 10, 2025 10:38:59.577292059 CEST",,,,,
"Jul 10, 2025 10:38:59.603959340 CEST","10.74.17.221","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.688826746 CEST","10.74.16.187","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.690152153 CEST",,,,,
"Jul 10, 2025 10:38:59.868513818 CEST","10.74.17.221","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.874796455 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:59.874838594 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:59.874920202 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:59.874943297 CEST","10.74.18.51","10.74.16.1","17",,
"Jul 10, 2025 10:38:59.894034712 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:59.911940664 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:59.914436827 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:59.930453166 CEST","10.74.16.1","10.74.18.51","17",,
"Jul 10, 2025 10:38:59.931396230 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:59.946229886 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:59.948805068 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:59.949329776 CEST","10.74.18.51","34.120.237.76","6","41356","443"
"Jul 10, 2025 10:38:59.956747072 CEST","10.74.16.187","224.0.0.251","17",,
"Jul 10, 2025 10:38:59.956792663 CEST",,,,,
"Jul 10, 2025 10:38:59.968988420 CEST","34.120.237.76","10.74.18.51","6","443","41356"
"Jul 10, 2025 10:38:59.979973932 CEST",,,,,
"Jul 10, 2025 10:39:00.005210506 CEST",,,,,
"Jul 10, 2025 10:39:00.011503436 CEST",,,,,
"Jul 10, 2025 10:39:00.058859345 CEST","10.74.16.248","224.0.0.251","17",,
"Jul 10, 2025 10:39:00.058860169 CEST",,,,,
"Jul 10, 2025 10:39:00.104350878 CEST","10.74.16.43","239.254.127.63","17",,
"Jul 10, 2025 10:39:00.109741146 CEST",,,,,
"Jul 10, 2025 10:39:00.110177084 CEST",,,,,
"Jul 10, 2025 10:39:00.117265168 CEST","10.74.16.42","239.254.127.63","17",,
"Jul 10, 2025 10:39:00.132055048 CEST","10.74.17.221","224.0.0.251","17",,
"Jul 10, 2025 10:39:00.132055499 CEST","10.74.17.221","224.0.0.251","17",,
"Jul 10, 2025 10:39:00.157318044 CEST","10.74.17.22","224.0.0.251","17",,
"Jul 10, 2025 10:39:00.157318471 CEST",,,,,
"Jul 10, 2025 10:39:00.194000827 CEST",,,,,
"Jul 10, 2025 10:39:00.230372686 CEST",,,,,
"Jul 10, 2025 10:39:00.341975327 CEST","10.74.18.59","224.0.0.251","17",,
"Jul 10, 2025 10:39:00.342321089 CEST",,,,,
"Jul 10, 2025 10:39:00.419825593 CEST","10.74.16.43","239.254.127.63","17",,
"Jul 10, 2025 10:39:00.425440154 CEST",,,,,
"Jul 10, 2025 10:39:00.425470562 CEST",,,,,
"Jul 10, 2025 10:39:00.473391360 CEST",,,,,
"Jul 10, 2025 10:39:00.551427397 CEST","10.74.16.43","239.254.127.63","17",,
"Jul 10, 2025 10:39:00.553891048 CEST",,,,,
"Jul 10, 2025 10:39:00.554616058 CEST",,,,,
