No.,timestamp,src_ip,dst_ip,proto,Length,Info,src_port,dst_port,label,src_ip_entropy,dst_ip_entropy,src_port_var,dst_port_var,is_ip_aleatoire_80,ip_aleatoire_80,is_ip_aleatoire_port,is_ip_source_unique,is_ip_source_rare_on_port,is_new_src_ip_on_port_10_74
42.0,2.721089442,10.74.18.60,20.190.160.2,TCP,54.0,45566  >  443 [ACK] Seq=1 Ack=1 Win=638 Len=0,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
43.0,2.738521064,20.190.160.2,10.74.18.60,TCP,60.0,[TCP ACKed unseen segment] 443  >  45566 [ACK] Seq=1 Ack=2 Win=16385 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,1
50.0,3.002436868,10.74.18.60,13.107.6.163,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
51.0,3.002624487,10.74.18.60,52.98.159.18,TLSv1.2,112.0,Application Data,0,0,0,2.663532754804255,2.5220552088742005,0,0,0,1.0,0,0,0,0
52.0,3.019941018,13.107.6.163,10.74.18.60,TCP,60.0,443  >  47346 [ACK] Seq=1 Ack=40 Win=16384 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,1
53.0,3.019941395,13.107.6.163,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
54.0,3.020002427,10.74.18.60,13.107.6.163,TCP,54.0,47346  >  443 [ACK] Seq=40 Ack=40 Win=623 Len=0,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
55.0,3.023343406,52.98.159.18,10.74.18.60,TLSv1.2,112.0,Application Data,0,0,0,2.5220552088742005,2.663532754804255,0,0,0,1.0,0,0,0,1
56.0,3.02336915,10.74.18.60,52.98.159.18,TCP,66.0,44272  >  443 [ACK] Seq=47 Ack=47 Win=1383 Len=0 TSval=229640189 TSecr=484703326,0,0,0,2.663532754804255,2.5220552088742005,0,0,0,1.0,0,0,0,0
58.0,3.345284178,10.74.17.126,10.74.19.255,NBNS,92.0,Name query NB PARAKOU3<00>,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,0
70.0,4.102811018,10.74.17.126,10.74.19.255,NBNS,92.0,Name query NB PARAKOU3<00>,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,0
75.0,4.853256953,10.74.17.126,10.74.19.255,NBNS,92.0,Name query NB PARAKOU3<00>,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,0
95.0,5.619519083,10.74.17.126,10.74.19.255,NBNS,92.0,Name query NB PARAKOU3<00>,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,0
97.0,5.726042164,10.74.17.168,10.74.19.255,UDP,86.0,57621  >  57621 Len=44,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,1
108.0,6.358580489,10.74.17.126,10.74.19.255,NBNS,92.0,Name query NB PARAKOU3<00>,0,0,0,2.625814583693911,2.8553885422075336,0,0,0,1.0,0,0,0,0
109.0,6.386640374,52.123.128.14,10.74.18.60,TCP,60.0,"443  >  43566 [RST, ACK] Seq=40 Ack=40 Win=0 Len=0",0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,0
137.0,6.883042775,10.74.16.159,10.74.19.255,UDP,86.0,57621  >  57621 Len=44,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,1
186.0,8.004091786,10.74.18.60,20.216.209.84,TLSv1.2,112.0,Application Data,0,0,0,2.663532754804255,2.8150724101159437,0,0,0,1.0,0,0,0,0
187.0,8.015705837,20.216.209.84,10.74.18.60,TLSv1.2,112.0,Application Data,0,0,0,2.8150724101159437,2.663532754804255,0,0,0,1.0,0,0,0,1
189.0,8.015763637,10.74.18.60,20.216.209.84,TCP,66.0,42182  >  443 [ACK] Seq=47 Ack=47 Win=660 Len=0 TSval=1520340605 TSecr=1577077381,0,0,0,2.663532754804255,2.8150724101159437,0,0,0,1.0,0,0,0,0
209.0,8.347540912,10.74.16.159,10.74.19.255,NBNS,92.0,Name query NB <01><02>__MSBROWSE__<02><01>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
211.0,8.352941469,10.74.16.159,10.74.19.255,NBNS,92.0,Name query NB <01><02>__MSBROWSE__<02><01>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
232.0,9.150125152,20.223.35.26,10.74.18.60,TCP,60.0,"443  >  39184 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0,0,0,2.355388542207534,2.663532754804255,0,0,0,1.0,0,0,0,1
244.0,9.575836434,20.50.73.9,10.74.18.60,TCP,60.0,"443  >  33390 [RST, ACK] Seq=40 Ack=40 Win=0 Len=0",0,0,0,2.6464393446710153,2.663532754804255,0,0,0,1.0,0,0,0,0
254.0,10.005438386,10.74.18.60,20.190.160.22,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.449311833026446,0,0,0,1.0,0,0,0,0
255.0,10.02394874,20.190.160.22,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.449311833026446,2.663532754804255,0,0,0,1.0,0,0,0,1
256.0,10.065084714,10.74.18.60,20.190.160.22,TCP,54.0,34012  >  443 [ACK] Seq=40 Ack=40 Win=659 Len=0,0,0,0,2.663532754804255,2.449311833026446,0,0,0,1.0,0,0,0,0
263.0,10.38130908,13.107.6.163,10.74.18.60,TCP,60.0,"443  >  47346 [RST, ACK] Seq=40 Ack=40 Win=0 Len=0",0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
270.0,11.006419849,10.74.18.60,13.107.253.42,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.8731406795131336,0,0,0,1.0,0,0,0,0
271.0,11.016359389,13.107.253.42,10.74.18.60,TCP,66.0,443  >  52978 [ACK] Seq=1 Ack=40 Win=84 Len=0 TSval=746763474 TSecr=84462762,0,0,0,2.8731406795131336,2.663532754804255,0,0,0,1.0,0,0,0,1
272.0,11.01635987,13.107.253.42,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.8731406795131336,2.663532754804255,0,0,0,1.0,0,0,0,0
273.0,11.016427142,10.74.18.60,13.107.253.42,TCP,66.0,52978  >  443 [ACK] Seq=40 Ack=40 Win=1731 Len=0 TSval=84462772 TSecr=746763474,0,0,0,2.663532754804255,2.8731406795131336,0,0,0,1.0,0,0,0,0
322.0,12.961099938,10.74.18.60,20.190.160.2,TCP,54.0,[TCP Dup ACK 42#1] 45566  >  443 [ACK] Seq=1 Ack=1 Win=638 Len=0,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
323.0,12.978546876,20.190.160.2,10.74.18.60,TCP,60.0,[TCP Dup ACK 43#1] 443  >  45566 [ACK] Seq=1 Ack=2 Win=16385 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
329.0,13.294133532,10.74.16.159,10.74.19.255,NBNS,110.0,Registration NB MAC-AFB449<00>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
344.0,14.007769272,10.74.18.60,52.98.200.226,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.5654483718208256,0,0,0,1.0,0,0,0,0
345.0,14.007917376,10.74.18.60,20.190.160.17,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.6031579868726,0,0,0,1.0,0,0,0,0
346.0,14.00800902,10.74.18.60,40.79.141.152,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.8150724101159437,0,0,0,1.0,0,0,0,0
347.0,14.026358694,20.190.160.17,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,1
348.0,14.026359188,40.79.141.152,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.8150724101159437,2.663532754804255,0,0,0,1.0,0,0,0,1
349.0,14.026411838,10.74.18.60,20.190.160.17,TCP,54.0,40028  >  443 [ACK] Seq=40 Ack=40 Win=681 Len=0,0,0,0,2.663532754804255,2.6031579868726,0,0,0,1.0,0,0,0,0
350.0,14.026437292,10.74.18.60,40.79.141.152,TCP,66.0,36796  >  443 [ACK] Seq=40 Ack=40 Win=742 Len=0 TSval=1459204385 TSecr=386316605,0,0,0,2.663532754804255,2.8150724101159437,0,0,0,1.0,0,0,0,0
351.0,14.028669902,52.98.200.226,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.5654483718208256,2.663532754804255,0,0,0,1.0,0,0,0,1
352.0,14.02870805,10.74.18.60,52.98.200.226,TCP,66.0,44504  >  443 [ACK] Seq=40 Ack=40 Win=4731 Len=0 TSval=3233400078 TSecr=141083430,0,0,0,2.663532754804255,2.5654483718208256,0,0,0,1.0,0,0,0,0
380.0,14.792902844,10.74.16.159,10.74.19.255,NBNS,110.0,Registration NB MAC-AFB449<00>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
384.0,15.008689872,10.74.18.60,2.22.151.141,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.1258145836939115,0,0,0,1.0,0,0,0,0
385.0,15.008847947,10.74.18.60,52.98.163.34,TLSv1.2,112.0,Application Data,0,0,0,2.663532754804255,3.0220552088742005,0,0,0,1.0,0,0,0,0
386.0,15.017975798,2.22.151.141,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.1258145836939115,2.663532754804255,0,0,0,1.0,0,0,0,1
387.0,15.030850418,52.98.163.34,10.74.18.60,TLSv1.2,112.0,Application Data,0,0,0,3.0220552088742005,2.663532754804255,0,0,0,1.0,0,0,0,1
388.0,15.061115007,10.74.18.60,2.22.151.141,TCP,66.0,43466  >  443 [ACK] Seq=40 Ack=40 Win=4248 Len=0 TSval=1768396343 TSecr=556921648,0,0,0,2.663532754804255,2.1258145836939115,0,0,0,1.0,0,0,0,0
389.0,15.073078713,10.74.18.60,52.98.163.34,TCP,66.0,39374  >  443 [ACK] Seq=47 Ack=47 Win=581 Len=0 TSval=2217956041 TSecr=117475703,0,0,0,2.663532754804255,3.0220552088742005,0,0,0,1.0,0,0,0,0
403.0,15.444299022,10.74.17.116,10.74.19.255,UDP,86.0,57621  >  57621 Len=44,0,0,0,2.355388542207534,2.8553885422075336,0,0,0,1.0,0,0,0,1
409.0,16.009602698,10.74.18.60,40.97.4.98,TLSv1.2,100.0,Application Data,0,0,0,2.663532754804255,2.446439344671015,0,0,0,1.0,0,0,0,0
410.0,16.009687941,10.74.18.60,40.97.4.98,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.446439344671015,0,0,0,1.0,0,0,0,0
411.0,16.104108641,40.97.4.98,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.446439344671015,2.663532754804255,0,0,0,1.0,0,0,0,1
412.0,16.10468131,40.97.4.98,10.74.18.60,TLSv1.2,100.0,Application Data,0,0,0,2.446439344671015,2.663532754804255,0,0,0,1.0,0,0,0,0
413.0,16.104703999,10.74.18.60,40.97.4.98,TCP,54.0,57586  >  443 [ACK] Seq=47 Ack=47 Win=647 Len=0,0,0,0,2.663532754804255,2.446439344671015,0,0,0,1.0,0,0,0,0
414.0,16.145121348,10.74.18.60,40.97.4.98,TCP,54.0,57596  >  443 [ACK] Seq=40 Ack=40 Win=640 Len=0,0,0,0,2.663532754804255,2.446439344671015,0,0,0,1.0,0,0,0,0
415.0,16.292222199,10.74.16.159,10.74.19.255,NBNS,110.0,Registration NB MAC-AFB449<00>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
430.0,17.010443351,10.74.18.60,92.122.166.16,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.237397409783102,0,0,0,1.0,0,0,0,0
431.0,17.019436075,92.122.166.16,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.237397409783102,2.663532754804255,0,0,0,1.0,0,0,0,1
432.0,17.019468529,10.74.18.60,92.122.166.16,TCP,66.0,59010  >  443 [ACK] Seq=40 Ack=40 Win=1398 Len=0 TSval=2484038734 TSecr=2031454097,0,0,0,2.663532754804255,2.237397409783102,0,0,0,1.0,0,0,0,0
434.0,17.045297605,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,1
458.0,17.802950107,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
463.0,18.554897874,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
468.0,18.82453057,10.74.16.159,10.74.19.255,NBNS,92.0,Name query NB ITSUP<1d>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
469.0,18.824530964,10.74.16.159,10.74.19.255,NBNS,92.0,Name query NB WORKGROUP<1d>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
471.0,18.828031267,10.74.16.159,10.74.19.255,BROWSER,216.0,Get Backup List Request,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
472.0,18.828996165,10.74.16.18,10.74.19.255,NBNS,92.0,Name query NB MAC-AFB449<00>,0,0,0,2.59490661824394,2.8553885422075336,0,0,0,1.0,1,1,1,1
476.0,19.317844913,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
477.0,19.43828391,10.74.16.159,10.74.19.255,NBNS,92.0,Name query NB WORKGROUP<1d>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
479.0,19.452595986,10.74.16.159,10.74.19.255,BROWSER,216.0,Get Backup List Request,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
488.0,20.011812716,10.74.18.60,20.190.160.22,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.449311833026446,0,0,0,1.0,0,0,0,0
489.0,20.01195198,10.74.18.60,40.126.49.152,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.873140679513133,0,0,0,1.0,0,0,0,0
490.0,20.021295648,40.126.49.152,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.873140679513133,2.663532754804255,0,0,0,1.0,0,0,0,1
491.0,20.021345644,10.74.18.60,40.126.49.152,TCP,54.0,54688  >  443 [ACK] Seq=40 Ack=40 Win=695 Len=0,0,0,0,2.663532754804255,2.873140679513133,0,0,0,1.0,0,0,0,0
492.0,20.031560303,20.190.160.22,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.449311833026446,2.663532754804255,0,0,0,1.0,0,0,0,0
493.0,20.031585894,10.74.18.60,20.190.160.22,TCP,54.0,34002  >  443 [ACK] Seq=40 Ack=40 Win=1014 Len=0,0,0,0,2.663532754804255,2.449311833026446,0,0,0,1.0,0,0,0,0
496.0,20.077661523,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
508.0,20.839968663,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
521.0,21.616835898,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
526.0,21.746192438,10.74.18.43,10.74.19.255,NBNS,92.0,Name query NB PAPERCUT2025<00>,0,0,0,2.663532754804255,2.8553885422075336,0,0,0,1.0,0,0,0,1
540.0,22.013252038,10.74.18.60,92.122.166.7,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
541.0,22.013399378,10.74.18.60,52.123.128.14,TLSv1.2,93.0,Application Data,0,0,0,2.663532754804255,2.6031579868726,0,0,0,1.0,0,0,0,0
542.0,22.022542164,52.123.128.14,10.74.18.60,TCP,60.0,443  >  45538 [ACK] Seq=1 Ack=40 Win=49152 Len=0,0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,0
543.0,22.022542528,52.123.128.14,10.74.18.60,TLSv1.2,93.0,Application Data,0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,0
544.0,22.022596161,10.74.18.60,52.123.128.14,TCP,54.0,45538  >  443 [ACK] Seq=40 Ack=40 Win=12016 Len=0,0,0,0,2.663532754804255,2.6031579868726,0,0,0,1.0,0,0,0,0
545.0,22.02506972,92.122.166.7,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,1
546.0,22.025094546,10.74.18.60,92.122.166.7,TCP,66.0,38590  >  443 [ACK] Seq=40 Ack=40 Win=9749 Len=0 TSval=2556123582 TSecr=1774655763,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
563.0,22.367209746,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
564.0,22.4969162,10.74.18.43,10.74.19.255,NBNS,92.0,Name query NB PAPERCUT2025<00>,0,0,0,2.663532754804255,2.8553885422075336,0,0,0,1.0,0,0,0,0
573.0,23.014042726,10.74.18.60,52.109.68.129,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.873140679513133,0,0,0,1.0,0,0,0,0
574.0,23.024542269,52.109.68.129,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.873140679513133,2.663532754804255,0,0,0,1.0,0,0,0,1
575.0,23.024616066,10.74.18.60,52.109.68.129,TCP,66.0,37906  >  443 [ACK] Seq=40 Ack=40 Win=650 Len=0 TSval=832768319 TSecr=384424357,0,0,0,2.663532754804255,2.873140679513133,0,0,0,1.0,0,0,0,0
576.0,23.124996426,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
577.0,23.201094714,10.74.18.60,20.190.160.2,TCP,54.0,[TCP Dup ACK 42#2] 45566  >  443 [ACK] Seq=1 Ack=1 Win=638 Len=0,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
579.0,23.218563876,20.190.160.2,10.74.18.60,TCP,60.0,[TCP Dup ACK 43#2] 443  >  45566 [ACK] Seq=1 Ack=2 Win=16385 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
580.0,23.24740237,10.74.18.43,10.74.19.255,NBNS,92.0,Name query NB PAPERCUT2025<00>,0,0,0,2.663532754804255,2.8553885422075336,0,0,0,1.0,0,0,0,0
599.0,23.887516994,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
602.0,24.014980672,10.74.18.60,52.168.117.168,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.610577243331642,0,0,0,1.0,0,0,0,0
603.0,24.01506432,10.74.18.60,52.168.117.168,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.610577243331642,0,0,0,1.0,0,0,0,0
610.0,24.119095507,52.168.117.168,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.610577243331642,2.663532754804255,0,0,0,1.0,0,0,0,1
611.0,24.119159325,10.74.18.60,52.168.117.168,TCP,66.0,43940  >  443 [ACK] Seq=40 Ack=40 Win=623 Len=0 TSval=2596705444 TSecr=220257178,0,0,0,2.663532754804255,2.610577243331642,0,0,0,1.0,0,0,0,0
615.0,24.135948448,52.168.117.168,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.610577243331642,2.663532754804255,0,0,0,1.0,0,0,0,0
616.0,24.135994852,10.74.18.60,52.168.117.168,TCP,66.0,43930  >  443 [ACK] Seq=40 Ack=40 Win=637 Len=0 TSval=2596705460 TSecr=225501931,0,0,0,2.663532754804255,2.610577243331642,0,0,0,1.0,0,0,0,0
622.0,24.646895716,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
632.0,25.015821911,10.74.18.60,20.189.173.18,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.8150724101159437,0,0,0,1.0,0,0,0,0
633.0,25.171677198,20.189.173.18,10.74.18.60,TLSv1.2,105.0,Application Data,0,0,0,2.8150724101159437,2.663532754804255,0,0,0,1.0,0,0,0,1
634.0,25.171787543,10.74.18.60,20.189.173.18,TCP,66.0,37580  >  443 [ACK] Seq=40 Ack=40 Win=671 Len=0 TSval=739019630 TSecr=3494835,0,0,0,2.663532754804255,2.8150724101159437,0,0,0,1.0,0,0,0,0
636.0,25.410067212,10.74.17.229,10.74.19.255,NBNS,92.0,Name query NB 074-VMFIC01<00>,0,0,0,2.688721875540867,2.8553885422075336,0,0,0,1.0,0,0,0,0
637.0,25.42816333,92.122.166.7,10.74.18.60,TLSv1.2,90.0,Application Data,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
638.0,25.428163694,92.122.166.7,10.74.18.60,TCP,66.0,"443  >  38590 [FIN, ACK] Seq=64 Ack=40 Win=501 Len=0 TSval=1774659166 TSecr=2556123582",0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
639.0,25.42822841,10.74.18.60,92.122.166.7,TCP,66.0,38590  >  443 [ACK] Seq=40 Ack=64 Win=9749 Len=0 TSval=2556126985 TSecr=1774659166,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
640.0,25.428503035,10.74.18.60,92.122.166.7,TLSv1.2,105.0,Application Data,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
641.0,25.428959437,10.74.18.60,92.122.166.7,TLSv1.2,90.0,Application Data,0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
642.0,25.429002441,10.74.18.60,92.122.166.7,TCP,66.0,"38590  >  443 [FIN, ACK] Seq=103 Ack=65 Win=9749 Len=0 TSval=2556126985 TSecr=1774659166",0,0,0,2.663532754804255,2.4591479170272446,0,0,0,1.0,0,0,0,0
643.0,25.438920249,92.122.166.7,10.74.18.60,TCP,60.0,443  >  38590 [RST] Seq=65 Win=0 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
644.0,25.438958511,20.190.160.22,10.74.18.60,TCP,60.0,"443  >  34002 [RST, ACK] Seq=40 Ack=40 Win=0 Len=0",0,0,0,2.449311833026446,2.663532754804255,0,0,0,1.0,0,0,0,0
645.0,25.439325347,92.122.166.7,10.74.18.60,TCP,60.0,443  >  38590 [RST] Seq=65 Win=0 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
646.0,25.439325618,92.122.166.7,10.74.18.60,TCP,60.0,443  >  38590 [RST] Seq=65 Win=0 Len=0,0,0,0,2.4591479170272446,2.663532754804255,0,0,0,1.0,0,0,0,0
702.0,28.217251506,52.123.128.14,10.74.18.60,TCP,60.0,"443  >  45538 [RST, ACK] Seq=40 Ack=40 Win=0 Len=0",0,0,0,2.6031579868726,2.663532754804255,0,0,0,1.0,0,0,0,0
716.0,29.195981268,52.109.68.129,10.74.18.60,TCP,60.0,"443  >  37906 [RST, ACK] Seq=40 Ack=40 Win=0 Len=0",0,0,0,2.873140679513133,2.663532754804255,0,0,0,1.0,0,0,0,0
725.0,29.989154942,10.74.16.159,10.74.19.255,NBNS,92.0,Name query NB PROD-SRV-SCCM<20>,0,0,0,2.792481250360578,2.8553885422075336,0,0,0,1.0,0,0,0,0
